term,frequency,present
categor,0,0
categori,0,0
cattl,2,1
caus,1,1
celebr,0,0
cent,1,1
central,0,0
centuri,4,1
certain,1,1
chad,1,1
challeng,1,1
chang,3,1
children,0,0
china,1,1
choic,0,0
cite,0,0
citi,21,1
civil,2,1
claim,2,1
classifi,0,0
clean,2,1
clear,1,1
climat,1,1
clock,1,1
close,2,1
closer,1,1
cocacola,2,1
coeffici,0,0
coffe,1,1
collaps,1,1
collect,1,1
colorado,4,1
combust,0,0
come,0,0
commemor,0,0
commod,2,1
common,1,1
communic,0,0
communiti,0,0
compani,2,1
compar,1,1
comparison,0,0
competit,1,1
complic,0,0
compon,0,0
compress,1,1
concentr,0,0
concept,0,0
concern,0,0
conclud,0,0
condit,0,0
conduct,0,0
conflict,2,1
connect,2,1
conscious,1,1
consequ,0,0
conserv,3,1
consid,0,0
consist,0,0
constel,3,1
construct,2,1
consum,3,1
consumpt,2,1
contain,1,1
contamin,0,0
context,0,0
continu,0,0
contract,1,1
contrast,0,0
contribut,0,0
convers,0,0
cooper,0,0
cope,0,0
corona,1,1
corpor,0,0
correspond,0,0
cost,5,1
cotton,1,1
count,2,1
countdown,1,1
countri,2,1
cover,1,1
cow,1,1
creat,2,1
crisi,5,1
critic,1,1
crop,3,1
cryospher,0,0
cubic,2,1
cultiv,0,0
cup,1,1
current,0,0
custom,0,0
cut,1,1
cycl,0,0
damag,0,0
danger,0,0
dare,1,1
darfur,1,1
data,1,1
date,0,0
day,15,1
deal,1,1
decad,3,1
decid,1,1
decis,1,1
decre,1,1
decreas,1,1
dedic,0,0
defend,1,1
defens,1,1
defin,1,1
deforest,0,0
degrad,0,0
deliv,0,0
deliveri,1,1
demand,1,1
denver,1,1
depend,1,1
deploy,0,0
deposit,1,1
der,0,0
desalin,2,1
describ,0,0
descript,0,0
desert,3,1
design,0,0
despit,0,0
destabil,0,0
destruct,0,0
develop,1,1
devot,0,0
dialogu,0,0
die,2,1
diet,1,1
differ,1,1
difficult,1,1
dimens,0,0
dire,1,1
direct,0,0
disappear,0,0
disast,0,0
discuss,0,0
diseas,0,0
disproportion,0,0
distant,1,1
distribut,0,0
district,0,0
divers,0,0
divid,1,1
document,0,0
doesnt,6,1
dont,3,1
doubl,3,1
drain,1,1
draw,1,1
dri,3,1
driest,1,1
drink,3,1
drinkingwat,1,1
drive,2,1
drop,0,0
drought,3,1
droughtori,0,0
dub,1,1
due,0,0
dump,1,1
earli,1,1
earlier,1,1
earth,8,1
easi,1,1
easier,1,1
eat,2,1
ecolog,0,0
econom,1,1
economi,0,0
educ,0,0
effect,2,1
effici,0,0
effort,1,1
elabor,0,0
element,0,0
elev,0,0
embed,2,1
emin,0,0
emiss,0,0
employ,0,0
empow,0,0
enchant,1,1
encourag,1,1
end,4,1
energi,1,1
energyintens,0,0
enough,8,1
ensenada,1,1
ensur,1,1
entir,2,1
environ,0,0
environment,0,0
equal,1,1
equip,0,0
eros,0,0
errat,1,1
erupt,1,1
especi,1,1
essenti,0,0
estim,0,0
etc,0,0
ethic,0,0
evalu,0,0
evapor,1,1
even,2,1
event,0,0
everi,3,1
everybodi,1,1
everyon,2,1
everyth,1,1
evid,0,0
exacerb,0,0
except,2,1
excess,0,0
exchang,1,1
exclud,0,0
exhibit,0,0
exist,0,0
existenti,1,1
expect,1,1
expens,2,1
experi,2,1
experienc,1,1
explod,1,1
extend,1,1
extent,0,0
extract,1,1
extraordinari,1,1
extrem,0,0
eye,1,1
face,3,1
facet,0,0
facil,0,0
fact,2,1
factor,0,0
faecal,0,0
fail,1,1
famili,2,1
farfetch,1,1
farm,0,0
farmer,2,1
farmland,2,1
fast,1,1
fate,1,1
faucet,1,1
fear,1,1
fed,1,1
feder,1,1
feed,3,1
fell,1,1
felt,0,0
field,1,1
fight,1,1
file,1,1
fill,2,1
final,2,1
financi,1,1
find,1,1
fine,1,1
fire,0,0
first,3,1
fish,0,0
fit,1,1
fix,2,1
flash,0,0
flood,2,1
flow,2,1
fluctuat,0,0
flush,1,1
focus,0,0
follow,0,0
food,2,1
forecast,0,0
foremost,0,0
forest,0,0
forget,1,1
form,0,0
format,0,0
foster,0,0
found,1,1
fountain,0,0
four,3,1
fourth,0,0
fraction,1,1
free,1,1
freez,1,1
frequenc,0,0
frequent,0,0
fresh,0,0
freshwat,3,1
front,1,1
fuel,0,0
fund,1,1
fundament,0,0
furthermor,0,0
futur,0,0
gallon,6,1
gase,0,0
general,0,0
get,12,1
giant,1,1
given,0,0
glacier,0,0
glass,2,1
global,1,1
goal,0,0
goe,4,1
gold,1,1
goldman,1,1
gone,1,1
gone”,0,0
good,2,1
got,2,1
gotten,1,1
govern,6,1
grail,1,1
grant,1,1
great,0,0
greater,0,0
greatest,1,1
green,0,0
groundwat,3,1
group,1,1
grow,8,1
grown,1,1
growth,0,0
guarante,1,1
half,3,1
hamburg,1,1
hand,1,1
har,1,1
hard,2,1
haul,1,1
hazard,0,0
health,0,0
healthi,0,0
heard,1,1
heart,1,1
heat,0,0
heavi,0,0
hedg,1,1
high,0,0
higher,3,1
hike,1,1
histor,1,1
histori,1,1
hold,1,1
holi,1,1
home,2,1
hot,0,0
howev,0,0
huge,1,1
human,6,1
humanitarian,0,0
humankind,1,1
hundr,3,1
hydrolog,0,0
ice,2,1
idea,1,1
identifi,0,0
ignor,0,0
impact,1,1
impair,0,0
implement,0,0
import,4,1
inch,2,1
incom,2,1
incomplet,0,0
increas,3,1
incred,1,1
inde,0,0
indefinit,2,1
index,0,0
india,2,1
indic,0,0
individu,1,1
industri,4,1
ineffect,0,0
ineffici,1,1
inextric,0,0
inflect,1,1
influenc,0,0
infrastructur,1,1
ingredi,2,1
insecur,0,0
inspir,1,1
instead,1,1
institut,0,0
intend,0,0
intens,0,0
intensif,0,0
intensifi,0,0
interest,1,1
intergovernment,0,0
interrupt,0,0
intervent,0,0
interview,0,0
invalu,2,1
invest,2,1
investor,1,1
ipcc,0,0
irrig,2,1
island,0,0
isnt,4,1
israel,0,0
issu,2,1
istanbul,1,1
itll,1,1
jakarta,1,1
jame,1,1
januari,1,1
japan,0,0
job,1,1
jovanović,0,0
juli,3,1
justifi,0,0
kazakhstan,0,0
key,1,1
kilogram,2,1
kilomet,1,1
know,4,1
kooij,0,0
korea,0,0
kuwait,1,1
kyrgyzstan,0,0
ladi,1,1
lake,8,1
land,1,1
lankford,0,0
larg,1,1
las,1,1
last,2,1
later,2,1
latin,0,0
lead,0,0
leakag,1,1
leaki,1,1
least,1,1
leav,1,1
left,0,0
less,7,1
let,1,1
level,0,0
life,0,0
like,15,1
limit,0,0
line,2,1
link,0,0
liquid,2,1
liter,7,1
literatur,0,0
littl,1,1
live,5,1
livelihood,1,1
local,1,1
london,2,1
long,2,1
longer,1,1
look,2,1
los,1,1
lose,2,1
loser,1,1
lot,6,1
low,0,0
lower,0,0
lowincom,0,0
lowland,0,0
lucki,1,1
made,1,1
main,2,1
mainten,1,1
major,2,1
make,10,1
maker,1,1
mammal,0,0
manag,1,1
mani,2,1
march,1,1
margin,0,0
mark,0,0
marvel,1,1
mashhad,0,0
matter,2,1
may,3,1
mean,4,1
meant,1,1
meanwhil,0,0
measur,0,0
meat,2,1
mechan,0,0
medic,0,0
meet,1,1
melbourn,1,1
melt,1,1
meltwat,0,0
mena,1,1
meteorolog,0,0
meter,2,1
method,1,1
methodolog,0,0
metropoli,0,0
mexicali,3,1
mexican,1,1
mexico,12,1
midlong,0,0
might,5,1
migrat,0,0
milan,0,0
mile,1,1
millennia,2,1
million,7,1
mitig,0,0
model,0,0
modelo,1,1
moment,1,1
money,2,1
month,2,1
moreov,0,0
most,1,1
mountain,1,1
movi,1,1
much,10,1
multiperspect,0,0
multipl,0,0
must,1,1
nasa,1,1
nation,0,0
natur,1,1
nearest,0,0
need,9,1
negat,0,0
network,1,1
new,3,1
next,5,1
nigeria,1,1
nine,2,1
northeast,1,1
northern,1,1
noth,1,1
notori,1,1
number,0,0
numer,0,0
observ,0,0
obtain,0,0
occur,0,0
occurr,0,0
ocean,2,1
oceania,0,0
offer,1,1
often,1,1
one,8,1
ongo,1,1
oper,1,1
order,1,1
organ,1,1
overview,0,0
own,1,1
panel,0,0
paper,0,0
part,3,1
particular,0,0
partnership,0,0
pattern,0,0
pauciti,0,0
paulo,1,1
paus,1,1
pay,3,1
peac,0,0
peatland,0,0
penalti,0,0
peopl,16,1
per,5,1
percentag,2,1
percept,1,1
perform,0,0
period,1,1
perman,1,1
person,3,1
perspect,0,0
pertin,0,0
petroleum,3,1
phenomenon,0,0
philadelphia,1,1
phoenix,1,1
physic,1,1
physiolog,0,0
pick,1,1
pipe,4,1
place,6,1
plan,1,1
planet,2,1
plot,1,1
pocket,1,1
point,2,1
pole,1,1
policemen,1,1
polici,0,0
policymak,0,0
polit,0,0
pollut,0,0
poor,2,1
poorest,1,1
popul,2,1
potenti,0,0
poverti,0,0
precipit,0,0
predict,1,1
predispos,0,0
preparatori,0,0
prepared,0,0
present,0,0
pressur,1,1
price,9,1
princip,0,0
priorit,0,0
prioriti,0,0
privat,2,1
probabl,2,1
problem,2,1
process,0,0
produc,2,1
product,1,1
profil,0,0
profit,1,1
project,1,1
prompt,1,1
proport,0,0
protect,2,1
protest,1,1
provid,1,1
provis,0,0
public,1,1
pump,1,1
push,4,1
put,2,1
qualiti,0,0
quantit,0,0
quantiti,0,0
quarterpound,1,1
quench,1,1
quest,1,1
questionnairebas,0,0
radic,1,1
rain,3,1
rainfal,0,0
raini,1,1
rais,1,1
rapid,0,0
rather,0,0
ratio,0,0
ration,1,1
reach,1,1
real,1,1
realli,6,1
recent,1,1
recharg,0,0
recogn,2,1
recov,1,1
reduc,0,0
refer,0,0
refil,1,1
regard,0,0
regim,0,0
region,2,1
regress,0,0
regul,0,0
regular,0,0
relat,2,1
relationship,0,0
releas,0,0
relev,0,0
reli,2,1
reliabl,1,1
remark,1,1
rememb,3,1
remnant,1,1
repair,1,1
report,0,0
repres,0,0
requir,0,0
research,0,0
resid,1,1
resolut,0,0
resourc,5,1
respect,0,0
respond,0,0
respons,0,0
restrict,1,1
result,1,1
review,0,0
richest,1,1
right,5,1
rigor,0,0
ring,1,1
rise,2,1
riser,1,1
risk,0,0
river,7,1
road,1,1
rocki,1,1
rule,1,1
run,6,1
runoff,0,0
rural,0,0
rush,2,1
russia,0,0
sach,1,1
safe,0,0
safeti,0,0
salt,2,1
salti,1,1
saltwat,0,0
sanit,1,1
satellit,1,1
save,3,1
saw,2,1
say,3,1
scale,0,0
scarc,2,1
scarciti,3,1
scatter,0,0
schedul,1,1
scientif,0,0
sdgs,0,0
sea,0,0
season,0,0
second,0,0
section,0,0
sector,0,0
secur,0,0
see,4,1
seem,1,1
seen,1,1
send,2,1
sens,4,1
serbia,0,0
seri,0,0
serious,0,0
servic,1,1
set,1,1
settl,3,1
seven,1,1
sevenfold,1,1
sever,2,1
sewag,1,1
shape,0,0
sharpli,0,0
shes,1,1
shield,1,1
shirt,1,1
shock,0,0
shortag,1,1
shortterm,0,0
show,3,1
shut,2,1
side,1,1
signal,2,1
signific,0,0
simpli,1,1
sinc,4,1
singl,1,1
sink,1,1
situat,0,0
six,1,1
skyrocket,1,1
slower,0,0
small,1,1
smart,0,0
snow,3,1
social,0,0
socioeconom,0,0
soil,1,1
soldier,1,1
solv,1,1
sometim,1,1
soon,0,0
sort,1,1
sound,1,1
sourc,2,1
south,3,1
southern,1,1
space,1,1
spanish,2,1
spare,1,1
specif,0,0
sphere,1,1
spring,0,0
stabil,0,0
standard,1,1
start,8,1
state,1,1
station,1,1
stickup,1,1
still,2,1
stop,1,1
storm,0,0
strategi,0,0
street,1,1
stress,0,0
stress”,0,0
strive,0,0
structur,0,0
struggl,1,1
studi,0,0
subsequ,0,0
substitut,1,1
suburban,0,0
success,0,0
suck,2,1
sudden,1,1
suffer,0,0
summar,0,0
suppli,5,1
suppos,1,1
surfac,3,1
surviv,1,1
sustain,0,0
susten,0,0
sydney,1,1
syrian,1,1
system,1,1
são,1,1
tajikistan,0,0
take,13,1
taken,1,1
talk,3,1
tap,4,1
teeth,1,1
tell,1,1
temperatur,1,1
ten,3,1
tension,2,1
term,1,1
terrestri,0,0
territori,0,0
thank,1,1
that,6,1
theme,0,0
there,5,1
therebi,0,0
therefor,0,0
theyd,3,1
theyll,2,1
thing,2,1
think,1,1
third,0,0
thousand,1,1
threat,1,1
threaten,0,0
three,1,1
thrive,1,1
throughout,0,0
thus,0,0
tie,2,1
time,5,1
today,2,1
toilet,1,1
tokyo,1,1
ton,1,1
total,0,0
tourism,0,0
town,8,1
transboundari,0,0
transport,0,0
trap,1,1
treasur,1,1
treat,4,1
treatment,0,0
tree,0,0
tri,1,1
trick,1,1
trigger,0,0
trillion,3,1
true,1,1
truli,1,1
turkmenistan,0,0
turn,3,1
twentyfirst,0,0
twice,1,1
two,2,1
twothird,0,0
typic,1,1
tyranni,1,1
underdevelop,0,0
underground,4,1
understand,0,0
unicef,0,0
unit,0,0
unless,1,1
unpredict,0,0
unrest,0,0
urban,0,0
use,13,1
util,1,1
uzbekistan,0,0
valu,7,1
valuabl,3,1
van,0,0
vast,0,0
vectorborn,0,0
vega,1,1
veget,0,0
video,1,1
villain,1,1
violent,1,1
virtual,0,0
vision,1,1
vital,1,1
volatil,0,0
wait,1,1
want,2,1
war,1,1
warm,0,0
warmer,1,1
warn,1,1
wash,2,1
wast,2,1
wastewat,0,0
water,108,1
waterdepend,0,0
waterintens,1,1
waterpoint,0,0
waterrel,0,0
waterway,1,1
wave,0,0
way,5,1
wcts,0,0
weather,0,0
well,2,1
weve,3,1
whether,0,0
wildfir,0,0
wildlif,0,0
will,6,1
wine,1,1
winner,1,1
withdraw,0,0
within,1,1
without,2,1
wont,1,1
world,14,1
wors,1,1
worsen,0,0
worst,1,1
worth,1,1
would,11,1
wouldnt,5,1
wsi,0,0
wsis,0,0
year,14,1
yearround,1,1
young,0,0
zealand,0,0
zero,9,1
“as,0,0
“high,0,0
“moder,0,0
“sever,0,0
